experiment ,run number ,Harvest-greedy ,Perception-accuracy ,types, final frequency of the trait %,mean frequency of the trait %
4,4,12,60,"greedy, non-punishing",98.91774892,88.82997544
4,4,12,60,"greedy, punishing",0.649350649,1.183952828
5,1,11,50," sustainable, punishing",0,2.087185151
5,1,11,50,"sustainable, non-punishing",0.299401198,9.177141583
5,1,11,50,"greedy, non-punishing",97.90419162,87.61395642
5,1,11,50,"greedy, punishing",1.796407186,1.12171685
5,2,11,50," sustainable, punishing",0.093574548,2.431982706
5,2,11,50,"sustainable, non-punishing",2.089831566,11.06029475
5,2,11,50,"greedy, non-punishing",96.6625078,85.37664391
5,2,11,50,"greedy, punishing",1.154086089,1.131078629
5,3,11,50," sustainable, punishing",0,2.504871738
5,3,11,50,"sustainable, non-punishing",0.920598389,10.31953432
5,3,11,50,"greedy, non-punishing",98.73417722,86.08679157
5,3,11,50,"greedy, punishing",0.345224396,1.088802375
5,4,11,50," sustainable, punishing",0.233022636,1.53418731
5,4,11,50,"sustainable, non-punishing",1.7310253,8.060310729
5,4,11,50,"greedy, non-punishing",96.57123835,89.30607194
5,4,11,50,"greedy, punishing",1.464713715,1.099430024
5,5,11,50," sustainable, punishing",0,1.228702451
5,5,11,50,"sustainable, non-punishing",1.957295374,8.216101196
5,5,11,50,"greedy, non-punishing",96.76749703,89.47128289
5,5,11,50,"greedy, punishing",1.275207592,1.083913468
5,6,11,50," sustainable, punishing",0,2.555655569
5,6,11,50,"sustainable, non-punishing",1.655629139,9.498545123
5,6,11,50,"greedy, non-punishing",96.63355408,86.85173684
5,6,11,50,"greedy, punishing",1.710816777,1.094062467
5,7,11,50," sustainable, punishing",0.251889169,1.924813248
5,7,11,50,"sustainable, non-punishing",1.007556675,9.196032249
5,7,11,50,"greedy, non-punishing",97.22921914,87.74665427
5,7,11,50,"greedy, punishing",1.511335013,1.13250023
5,8,11,50," sustainable, punishing",0.092165899,4.612461899
5,8,11,50,"sustainable, non-punishing",3.133640553,13.33493482
5,8,11,50,"greedy, non-punishing",95.89861751,80.97656226
5,8,11,50,"greedy, punishing",0.875576037,1.076041018
6,1,10,40," sustainable, punishing",0,1.447962583
6,1,10,40,"sustainable, non-punishing",0.8,10.80287455
6,1,10,40,"greedy, non-punishing",98.93333333,86.43678191
6,1,10,40,"greedy, punishing",0.266666667,1.312380955
6,2,10,40," sustainable, punishing",0,1.484763673
6,2,10,40,"sustainable, non-punishing",1.840490798,8.623430643
6,2,10,40,"greedy, non-punishing",97.85276074,88.5370445
6,2,10,40,"greedy, punishing",0.306748466,1.354761181
6,3,10,40," sustainable, punishing",0,1.466617884
6,3,10,40,"sustainable, non-punishing",1.904761905,9.359333618
6,3,10,40,"greedy, non-punishing",96.58730159,87.85427501
6,3,10,40,"greedy, punishing",1.507936508,1.319773489
6,4,10,40," sustainable, punishing",0.148920328,2.220836028
6,4,10,40,"sustainable, non-punishing",1.191362621,10.45181309
6,4,10,40,"greedy, non-punishing",97.24497394,85.96884943
6,4,10,40,"greedy, punishing",1.414743112,1.358501452
6,5,10,40," sustainable, punishing",0,1.856460581
6,5,10,40,"sustainable, non-punishing",0.930232558,8.721514498
6,5,10,40,"greedy, non-punishing",98.60465116,88.12244019
6,5,10,40,"greedy, punishing",0.465116279,1.299584729
6,6,10,40," sustainable, punishing",0,2.158489144
6,6,10,40,"sustainable, non-punishing",3.265107212,10.6382753
6,6,10,40,"greedy, non-punishing",94.78557505,85.94318177
6,6,10,40,"greedy, punishing",1.949317739,1.260053791
6,7,10,40," sustainable, punishing",0,2.037169775
6,7,10,40,"sustainable, non-punishing",2.631578947,10.30673143
6,7,10,40,"greedy, non-punishing",94.52510587,86.41554422
6,7,10,40,"greedy, punishing",2.843315185,1.240554578
6,8,10,40," sustainable, punishing",0,1.659884133
6,8,10,40,"sustainable, non-punishing",2.939804013,9.518207035
6,8,10,40,"greedy, non-punishing",96.68688754,87.53792635
6,8,10,40,"greedy, punishing",0.373308446,1.283982478
7,1,9,30," sustainable, punishing",0.115640358,1.654351717
7,1,9,30,"sustainable, non-punishing",4.394333622,11.62999479
7,1,9,30,"greedy, non-punishing",93.52413992,85.13757478
7,1,9,30,"greedy, punishing",1.965886094,1.578078718
7,2,9,30," sustainable, punishing",0.689655172,2.34722152
7,2,9,30,"sustainable, non-punishing",3.034482759,13.77905509
7,2,9,30,"greedy, non-punishing",94.62068966,82.24322673
7,2,9,30,"greedy, punishing",1.655172414,1.630496665
7,3,9,30," sustainable, punishing",0.083542189,2.047053534
7,3,9,30,"sustainable, non-punishing",4.344193818,14.76415446
7,3,9,30,"greedy, non-punishing",92.95460874,81.53388327
7,3,9,30,"greedy, punishing",2.617655249,1.654908734
7,4,9,30," sustainable, punishing",0,3.116930532
7,4,9,30,"sustainable, non-punishing",4.63800905,12.74879107
7,4,9,30,"greedy, non-punishing",94.45701357,82.44228229
7,4,9,30,"greedy, punishing",0.904977376,1.691996112
